timestamp,source,container,metric,value
1784531772.4188612,rag_service,,cpu_percent,0.0
1784531772.4188612,rag_service,,ram_used_mb,2049.3515625
1784531772.4188612,rag_service,,ram_percent,26.8
1784531772.4188612,rag_service,,gpu_percent,0.0
1784531772.4378266,kg_service,,cpu_percent,0.0
1784531772.4378266,kg_service,,ram_used_mb,2049.3515625
1784531772.4378266,kg_service,,ram_percent,26.8
1784531772.4378266,kg_service,,gpu_percent,0.0
1784531774.7143247,rag_service,,cpu_percent,0.6
1784531774.7143247,rag_service,,ram_used_mb,2049.3515625
1784531774.7143247,rag_service,,ram_percent,26.8
1784531774.7143247,rag_service,,gpu_percent,0.0
1784531774.8131592,kg_service,,cpu_percent,0.6
1784531774.8131592,kg_service,,ram_used_mb,2049.3515625
1784531774.8131592,kg_service,,ram_percent,26.8
1784531774.8131592,kg_service,,gpu_percent,0.0
1784531777.0684738,rag_service,,cpu_percent,0.0
1784531777.0684738,rag_service,,ram_used_mb,2049.3515625
1784531777.0684738,rag_service,,ram_percent,26.8
1784531777.0684738,rag_service,,gpu_percent,0.0
1784531777.0938807,kg_service,,cpu_percent,0.0
1784531777.0938807,kg_service,,ram_used_mb,2049.3515625
1784531777.0938807,kg_service,,ram_percent,26.8
1784531777.0938807,kg_service,,gpu_percent,0.0
1784531779.3032808,rag_service,,cpu_percent,0.0
1784531779.3032808,rag_service,,ram_used_mb,2049.34375
1784531779.3032808,rag_service,,ram_percent,26.8
1784531779.3032808,rag_service,,gpu_percent,0.0
1784531779.325611,kg_service,,cpu_percent,0.0
1784531779.325611,kg_service,,ram_used_mb,2049.34375
1784531779.325611,kg_service,,ram_percent,26.8
1784531779.325611,kg_service,,gpu_percent,0.0
1784531782.368165,rag_service,,cpu_percent,0.6
1784531782.368165,rag_service,,ram_used_mb,2047.08203125
1784531782.368165,rag_service,,ram_percent,26.8
1784531782.368165,rag_service,,gpu_percent,0.0
1784531782.3916004,kg_service,,cpu_percent,0.0
1784531782.3916004,kg_service,,ram_used_mb,2047.08203125
1784531782.3916004,kg_service,,ram_percent,26.8
1784531782.3916004,kg_service,,gpu_percent,0.0
1784531784.5390089,rag_service,,cpu_percent,1.8
1784531784.5390089,rag_service,,ram_used_mb,2046.3203125
1784531784.5390089,rag_service,,ram_percent,26.8
1784531784.5390089,rag_service,,gpu_percent,0.0
1784531784.5666223,kg_service,,cpu_percent,0.0
1784531784.5666223,kg_service,,ram_used_mb,2046.3203125
1784531784.5666223,kg_service,,ram_percent,26.8
1784531784.5666223,kg_service,,gpu_percent,0.0
1784531787.0930908,rag_service,,cpu_percent,1.2
1784531787.0930908,rag_service,,ram_used_mb,2046.55859375
1784531787.0930908,rag_service,,ram_percent,26.8
1784531787.0930908,rag_service,,gpu_percent,0.0
1784531787.113502,kg_service,,cpu_percent,0.0
1784531787.113502,kg_service,,ram_used_mb,2046.55859375
1784531787.113502,kg_service,,ram_percent,26.8
1784531787.113502,kg_service,,gpu_percent,0.0
1784531789.4283671,rag_service,,cpu_percent,0.0
1784531789.4283671,rag_service,,ram_used_mb,2046.796875
1784531789.4283671,rag_service,,ram_percent,26.8
1784531789.4283671,rag_service,,gpu_percent,0.0
1784531789.4486635,kg_service,,cpu_percent,0.0
1784531789.4486635,kg_service,,ram_used_mb,2046.796875
1784531789.4486635,kg_service,,ram_percent,26.8
1784531789.4486635,kg_service,,gpu_percent,0.0
1784531791.6863585,rag_service,,cpu_percent,0.0
1784531791.6863585,rag_service,,ram_used_mb,2169.75390625
1784531791.6863585,rag_service,,ram_percent,28.4
1784531791.6863585,rag_service,,gpu_percent,0.0
1784531791.7061255,kg_service,,cpu_percent,0.0
1784531791.7061255,kg_service,,ram_used_mb,2169.75390625
1784531791.7061255,kg_service,,ram_percent,28.4
1784531791.7061255,kg_service,,gpu_percent,0.0
1784531794.0301306,rag_service,,cpu_percent,0.0
1784531794.0301306,rag_service,,ram_used_mb,2169.75390625
1784531794.0301306,rag_service,,ram_percent,28.4
1784531794.0301306,rag_service,,gpu_percent,0.0
1784531794.0508423,kg_service,,cpu_percent,0.6
1784531794.0508423,kg_service,,ram_used_mb,2169.75390625
1784531794.0508423,kg_service,,ram_percent,28.4
1784531794.0508423,kg_service,,gpu_percent,0.0
1784531796.1898036,rag_service,,cpu_percent,0.0
1784531796.1898036,rag_service,,ram_used_mb,2193.90234375
1784531796.1898036,rag_service,,ram_percent,28.7
1784531796.1898036,rag_service,,gpu_percent,0.0
1784531796.2067773,kg_service,,cpu_percent,0.0
1784531796.2067773,kg_service,,ram_used_mb,2193.90234375
1784531796.2067773,kg_service,,ram_percent,28.7
1784531796.2067773,kg_service,,gpu_percent,0.0
1784531798.3285472,rag_service,,cpu_percent,0.0
1784531798.3285472,rag_service,,ram_used_mb,2193.90234375
1784531798.3285472,rag_service,,ram_percent,28.7
1784531798.3285472,rag_service,,gpu_percent,0.0
1784531798.3469727,kg_service,,cpu_percent,0.0
1784531798.3469727,kg_service,,ram_used_mb,2193.90234375
1784531798.3469727,kg_service,,ram_percent,28.7
1784531798.3469727,kg_service,,gpu_percent,0.0
1784531800.4973536,rag_service,,cpu_percent,0.0
1784531800.4973536,rag_service,,ram_used_mb,2193.88671875
1784531800.4973536,rag_service,,ram_percent,28.7
1784531800.4973536,rag_service,,gpu_percent,0.0
1784531800.51838,kg_service,,cpu_percent,2.5
1784531800.51838,kg_service,,ram_used_mb,2193.88671875
1784531800.51838,kg_service,,ram_percent,28.7
1784531800.51838,kg_service,,gpu_percent,0.0
1784531802.6673546,rag_service,,cpu_percent,0.0
1784531802.6673546,rag_service,,ram_used_mb,2193.3671875
1784531802.6673546,rag_service,,ram_percent,28.7
1784531802.6673546,rag_service,,gpu_percent,0.0
1784531802.690542,kg_service,,cpu_percent,0.6
1784531802.690542,kg_service,,ram_used_mb,2193.3671875
1784531802.690542,kg_service,,ram_percent,28.7
1784531802.690542,kg_service,,gpu_percent,0.0
1784531804.8373306,rag_service,,cpu_percent,0.0
1784531804.8373306,rag_service,,ram_used_mb,2193.58984375
1784531804.8373306,rag_service,,ram_percent,28.7
1784531804.8373306,rag_service,,gpu_percent,0.0
1784531804.8598852,kg_service,,cpu_percent,0.0
1784531804.8598852,kg_service,,ram_used_mb,2193.58984375
